id,short_code,code,name,user_type_id/id,reconcile,account_type,group_id/id,chart_template_id:id
ttrx_phr1_1_1_01_001,1,1.1.1.01.001,Dinheiro,account.data_account_type_liquidity,0,,phar_gp_1_1_1_01,br_pharmedic_chart_template
ttrx_phr1_1_1_02_001,3,1.1.1.02.001,Banco Bradesco SA,account.data_account_type_liquidity,0,,phar_gp_1_1_1_02,br_pharmedic_chart_template
ttrx_phr1_1_1_02_002,5,1.1.1.02.002,Banco Do Brasil,account.data_account_type_liquidity,0,,phar_gp_1_1_1_02,br_pharmedic_chart_template
ttrx_phr1_1_1_02_003,7,1.1.1.02.003,Banco Caixa Economica Federal,account.data_account_type_liquidity,0,,phar_gp_1_1_1_02,br_pharmedic_chart_template
ttrx_phr1_1_1_02_004,9,1.1.1.02.004,Banco Citibank,account.data_account_type_liquidity,0,,phar_gp_1_1_1_02,br_pharmedic_chart_template
ttrx_phr1_1_1_02_005,11,1.1.1.02.005,Banco Itau SA,account.data_account_type_liquidity,0,,phar_gp_1_1_1_02,br_pharmedic_chart_template
ttrx_phr1_1_1_02_006,13,1.1.1.02.006,Banco Santander SA,account.data_account_type_liquidity,0,,phar_gp_1_1_1_02,br_pharmedic_chart_template
ttrx_phr1_1_1_02_999,15,1.1.1.02.999,Transferência de Saldo,account.data_account_type_liquidity,0,,phar_gp_1_1_1_02,br_pharmedic_chart_template
ttrx_phr1_1_1_03_001,17,1.1.1.03.001,Conta Aplicação,account.data_account_type_liquidity,0,,phar_gp_1_1_1_03,br_pharmedic_chart_template
ttrx_phr1_1_2_01_001,19,1.1.2.01.001,Clientes (A Receber),account.data_account_type_receivable,1,,phar_gp_1_1_2_01,br_pharmedic_chart_template
ttrx_phr1_1_2_01_002,21,1.1.2.01.002,(-) Duplicatas Descontadas,account.data_account_type_receivable,1,,phar_gp_1_1_2_01,br_pharmedic_chart_template
ttrx_phr1_1_2_02_001,23,1.1.2.02.001,Outras Contas (A Receber),account.data_account_type_receivable,1,,phar_gp_1_1_2_02,br_pharmedic_chart_template
ttrx_phr1_1_2_02_002,25,1.1.2.02.002,Cartão Crédito/Débito (A Receber),account.data_account_type_credit_card,1,,phar_gp_1_1_2_02,br_pharmedic_chart_template
ttrx_phr1_1_2_03_001,27,1.1.2.03.001,Adiantamento de Salários,account.data_account_type_prepayments,1,,phar_gp_1_1_2_03,br_pharmedic_chart_template
ttrx_phr1_1_2_03_002,29,1.1.2.03.002,Adiantamentos de Férias,account.data_account_type_prepayments,1,,phar_gp_1_1_2_03,br_pharmedic_chart_template
ttrx_phr1_1_2_03_003,31,1.1.2.03.003,Adiantamentos de 13. Salário,account.data_account_type_prepayments,1,,phar_gp_1_1_2_03,br_pharmedic_chart_template
ttrx_phr1_1_2_03_004,33,1.1.2.03.004,Empréstimos Consignados,account.data_account_type_prepayments,1,,phar_gp_1_1_2_03,br_pharmedic_chart_template
ttrx_phr1_1_2_03_005,35,1.1.2.03.005,Empréstimos a Funcionários,account.data_account_type_prepayments,1,,phar_gp_1_1_2_03,br_pharmedic_chart_template
ttrx_phr1_1_2_04_001,37,1.1.2.04.001,Adiantamento Fornecedor Nacional,account.data_account_type_prepayments,1,,phar_gp_1_1_2_04,br_pharmedic_chart_template
ttrx_phr1_1_2_04_002,39,1.1.2.04.002,Adiantamento Fornecedor Exterior,account.data_account_type_prepayments,1,,phar_gp_1_1_2_04,br_pharmedic_chart_template
ttrx_phr1_1_2_04_003,41,1.1.2.04.003,Adiantamento Viagens,account.data_account_type_prepayments,1,,phar_gp_1_1_2_04,br_pharmedic_chart_template
ttrx_phr1_1_2_04_004,43,1.1.2.04.004,Adiantamentos A Consórcio De Bens,account.data_account_type_prepayments,1,,phar_gp_1_1_2_04,br_pharmedic_chart_template
ttrx_phr1_1_2_05_001,45,1.1.2.05.001,Mercadorias Revenda,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_002,47,1.1.2.05.002,Produtos Acabados,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_003,49,1.1.2.05.003,Produtos Em Elaboração,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_004,51,1.1.2.05.004,Matérias Primas,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_005,53,1.1.2.05.005,Material de Consumo,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_006,55,1.1.2.05.006,Material de Embalagens,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_007,57,1.1.2.05.007,Mercadoria em Consignação,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_008,59,1.1.2.05.008,Estoques de Terceiros,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_2_05_999,61,1.1.2.05.999,Estoque em Trânsito,account.data_account_type_current_assets,0,,phar_gp_1_1_2_05,br_pharmedic_chart_template
ttrx_phr1_1_3_01_001,63,1.1.3.01.001,ICMS a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_002,65,1.1.3.01.002,IPI a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_003,67,1.1.3.01.003,COFINS a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_004,69,1.1.3.01.004,PIS a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_005,71,1.1.3.01.005,ISS a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_006,73,1.1.3.01.006,CSL a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_007,75,1.1.3.01.007,INSS a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_008,77,1.1.3.01.008,IRRF a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_009,79,1.1.3.01.009,CSSL Retido a Recuperar,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_01_010,81,1.1.3.01.010,Pgtos Indevidos / A Maior,account.data_account_type_current_assets,0,,phar_gp_1_1_3_01,br_pharmedic_chart_template
ttrx_phr1_1_3_02_001,83,1.1.3.02.001,IRPJ estimativa mensal,account.data_account_type_current_assets,0,,phar_gp_1_1_3_02,br_pharmedic_chart_template
ttrx_phr1_1_3_02_002,85,1.1.3.02.002,CSSL estimativa mensal,account.data_account_type_current_assets,0,,phar_gp_1_1_3_02,br_pharmedic_chart_template
ttrx_phr1_2_1_03_001,87,1.2.1.03.001,Deposito Judicial,account.data_account_type_receivable,1,,phar_gp_1_2_1_03,br_pharmedic_chart_template
ttrx_phr1_2_1_03_002,89,1.2.1.03.002,Causa Trabalhista,account.data_account_type_receivable,1,,phar_gp_1_2_1_03,br_pharmedic_chart_template
ttrx_phr1_2_1_04_001,91,1.2.1.04.001,Empréstimos A Sócios/Acionistas,account.data_account_type_receivable,1,,phar_gp_1_2_1_04,br_pharmedic_chart_template
ttrx_phr1_2_1_04_002,93,1.2.1.04.002,Empréstimos A Empresas Controladas/Coligadas,account.data_account_type_receivable,1,,phar_gp_1_2_1_04,br_pharmedic_chart_template
ttrx_phr1_2_1_05_001,95,1.2.1.05.001,Participações Em Controladas/Coligadas,account.data_account_type_current_assets,0,,phar_gp_1_2_1_05,br_pharmedic_chart_template
ttrx_phr1_2_1_05_002,97,1.2.1.05.002,Participações Em Outras Empresas,account.data_account_type_current_assets,0,,phar_gp_1_2_1_05,br_pharmedic_chart_template
ttrx_phr1_2_2_01_001,99,1.2.2.01.001,"Imóveis, Terrenos E Instalações",account.data_account_type_fixed_assets,0,,phar_gp_1_2_2_01,br_pharmedic_chart_template
ttrx_phr1_2_2_01_002,101,1.2.2.01.002,"Veículos, Máquinas E Equipamentos",account.data_account_type_fixed_assets,0,,phar_gp_1_2_2_01,br_pharmedic_chart_template
ttrx_phr1_2_2_01_003,103,1.2.2.01.003,"Ferramentas, Móveis, Aparelhos E Utensílios",account.data_account_type_fixed_assets,0,,phar_gp_1_2_2_01,br_pharmedic_chart_template
ttrx_phr1_2_2_01_004,105,1.2.2.01.004,Equipamentos de Informática,account.data_account_type_fixed_assets,0,,phar_gp_1_2_2_01,br_pharmedic_chart_template
ttrx_phr1_2_2_01_005,107,1.2.2.01.005,Software,account.data_account_type_fixed_assets,0,,phar_gp_1_2_2_01,br_pharmedic_chart_template
ttrx_phr1_2_2_01_999,109,1.2.2.01.999,(-) Amortização/Depreciação Acumulada,account.data_account_type_depreciation,0,,phar_gp_1_2_2_01,br_pharmedic_chart_template
ttrx_phr1_2_3_01_001,111,1.2.3.01.001,Marcas e Patentes,account.data_account_type_fixed_assets,0,,phar_gp_1_2_3_01,br_pharmedic_chart_template
ttrx_phr2_1_1_01_001,113,2.1.1.01.001,Fornecedores (a Pagar),account.data_account_type_payable,1,,phar_gp_2_1_1_01,br_pharmedic_chart_template
ttrx_phr2_1_1_03_001,115,2.1.1.03.001,Empréstimos E Financiamentos,account.data_account_type_payable,1,,phar_gp_2_1_1_03,br_pharmedic_chart_template
ttrx_phr2_1_1_04_001,117,2.1.1.04.001,Ordenados e Salários a Pagar,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_002,119,2.1.1.04.002,Pro labore a Pagar,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_003,121,2.1.1.04.003,Férias a Pagar,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_004,123,2.1.1.04.004,13 Salário a Pagar,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_005,125,2.1.1.04.005,Pensao Alimenticia A Pagar,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_006,127,2.1.1.04.006,Autonomos A Pagar,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_007,129,2.1.1.04.007,Indenizacoes Trabalhistas A Pagar,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_008,131,2.1.1.04.008,Contribuição Assistencial A Recolher,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_009,133,2.1.1.04.009,Contribuição Confederativa A Recolher,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_04_010,135,2.1.1.04.010,Contribuição Sindical A Recolher,account.data_account_type_payable,1,,phar_gp_2_1_1_04,br_pharmedic_chart_template
ttrx_phr2_1_1_05_001,137,2.1.1.05.001,INSS a Recolher,account.data_account_type_payable,1,,phar_gp_2_1_1_05,br_pharmedic_chart_template
ttrx_phr2_1_1_05_002,139,2.1.1.05.002,FGTS a Recolher,account.data_account_type_payable,1,,phar_gp_2_1_1_05,br_pharmedic_chart_template
