id,code_bc,name,short_name,bic,country:id,ispb_number,compe_member,acc_number_format
res_bank_1,001,Banco do Brasil S.A.,BCO DO BRASIL S.A.,BRASBRRJ,base.br,0,1,%(acc_number)s-%(acc_number_dig)s
res_bank_2,003,BANCO DA AMAZONIA S.A.,BCO DA AMAZONIA S.A.,AMABBRAB,base.br,4902979,1,%(acc_number)s
res_bank_3,004,Banco do Nordeste do Brasil S.A.,BCO DO NORDESTE DO BRASIL S.A.,BNBRBRCF,base.br,7237373,1,%(acc_number)s
res_bank_4,007,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,BNDES,,base.br,33657248,0,%(acc_number)s
res_bank_5,010,CREDICOAMO CREDITO RURAL COOPERATIVA,CREDICOAMO,,base.br,81723108,1,%(acc_number)s
res_bank_6,011,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A,C.SUISSE HEDGING-GRIFFO CV S/A,,base.br,61809182,0,%(acc_number)s
res_bank_7,012,Banco Inbursa S.A.,BANCO INBURSA,SBLLBRSP,base.br,4866275,0,%(acc_number)s
res_bank_8,014,STATE STREET BRASIL S.A. ? BANCO COMERCIAL,STATE STREET BR S.A. BCO COMERCIAL,,base.br,9274232,0,%(acc_number)s
res_bank_9,015,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",UBS BRASIL CCTVM S.A.,,base.br,2819125,0,%(acc_number)s
res_bank_10,016,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI,SICOOB CREDITRAN,,base.br,4715685,0,%(acc_number)s
res_bank_11,017,BNY Mellon Banco S.A.,BNY MELLON BCO S.A.,,base.br,42272526,1,%(acc_number)s
res_bank_12,018,Banco Tricury S.A.,BCO TRICURY S.A.,,base.br,57839805,1,%(acc_number)s
res_bank_13,021,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO,BCO BANESTES S.A.,BEESBRRJ,base.br,28127603,1,%(acc_number)s
res_bank_14,024,Banco Bandepe S.A.,BCO BANDEPE S.A.,,base.br,10866788,0,%(acc_number)s
res_bank_15,025,Banco Alfa S.A.,BCO ALFA S.A.,AUFABRSP,base.br,3323840,1,%(acc_number)s
res_bank_16,029,Banco Itaú Consignado S.A.,BANCO ITAÚ CONSIGNADO S.A.,BERJBRRJ,base.br,33885724,0,%(acc_number)s
res_bank_17,033,BANCO SANTANDER (BRASIL) S.A.,BCO SANTANDER (BRASIL) S.A.,ABNABRSP,base.br,90400888,1,%(bra_number)s%(acc_number)s%(acc_number_dig)s
res_bank_18,036,Banco Bradesco BBI S.A.,BCO BBI S.A.,,base.br,6271464,1,%(acc_number)s
res_bank_19,037,Banco do Estado do Pará S.A.,BCO DO EST. DO PA S.A.,BEPABRAB,base.br,4913711,1,%(acc_number)s
res_bank_20,040,Banco Cargill S.A.,BCO CARGILL S.A.,BCBZBRSP,base.br,3609817,0,%(acc_number)s
res_bank_21,041,Banco do Estado do Rio Grande do Sul S.A.,BCO DO ESTADO DO RS S.A.,BRGSBRRS,base.br,92702067,1,%(acc_number)s
res_bank_22,047,Banco do Estado de Sergipe S.A.,BCO DO EST. DE SE S.A.,SEEBBRR1,base.br,13009717,1,%(acc_number)s
res_bank_23,060,Confidence Corretora de Câmbio S.A.,CONFIDENCE CC S.A.,,base.br,4913129,0,%(acc_number)s
res_bank_24,062,Hipercard Banco Múltiplo S.A.,HIPERCARD BM S.A.,,base.br,3012230,1,%(acc_number)s
res_bank_25,063,Banco Bradescard S.A.,BANCO BRADESCARD,,base.br,4184779,1,%(acc_number)s
res_bank_26,064,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.,GOLDMAN SACHS DO BRASIL BM S.A,,base.br,4332281,0,%(acc_number)s
res_bank_27,065,Banco AndBank (Brasil) S.A.,BCO ANDBANK S.A.,,base.br,48795256,1,%(acc_number)s
res_bank_28,066,BANCO MORGAN STANLEY S.A.,BCO MORGAN STANLEY S.A.,MSDWBRSP,base.br,2801938,0,%(acc_number)s
res_bank_29,069,Banco Crefisa S.A.,BCO CREFISA S.A.,BPBMBRSP,base.br,61033106,1,%(acc_number)s
res_bank_30,070,BRB - BANCO DE BRASILIA S.A.,BRB - BCO DE BRASILIA S.A.,BRBSBRDF,base.br,208,1,%(acc_number)s
res_bank_31,074,Banco J. Safra S.A.,BCO. J.SAFRA S.A.,SAFRBRSP,base.br,3017677,1,%(acc_number)s
